h.m,00h00,00h15,00h30,00h45,01h00,01h15,01h30,01h45,02h00,02h15,02h30,02h45,03h00,03h15,03h30,03h45,04h00,04h15,04h30,04h45,05h00,05h15,05h30,05h45,06h00,06h15,06h30,06h45,07h00,07h15,07h30,07h45,08h00,08h15,08h30,08h45,09h00,09h15,09h30,09h45,10h00,10h15,10h30,10h45,11h00,11h15,11h30,11h45,12h00,12h15,12h30,12h45,13h00,13h15,13h30,13h45,14h00,14h15,14h30,14h45,15h00,15h15,15h30,15h45,16h00,16h15,16h30,16h45,17h00,17h15,17h30,17h45,18h00,18h15,18h30,18h45,19h00,19h15,19h30,19h45,20h00,20h15,20h30,20h45,21h00,21h15,21h30,21h45,22h00,22h15,22h30,22h45,23h00,23h15,23h30,23h45
"BBUZ1 .BW (TRAFFIC VALUE, INCOMING) 24-03-1998",1.271098,0.017778,0.022222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.124443,0.000000,0.000000,0.000000,0.000000,0.017778,0.040000,0.142221,0.079999,0.426662,1.342209,2.204422,4.106626,7.502147,9.271018,11.399885,17.213161,17.630934,17.670935,16.075394,16.715387,18.173151,22.181999,18.648703,20.684237,16.644278,19.710913,14.102080,13.048758,15.977617,9.751013,10.839891,8.168807,5.755498,8.262139,7.697701,12.910981,13.537642,11.546551,13.537642,15.190959,14.004304,10.991001,10.746559,10.724337,11.342109,12.964314,14.857629,10.635448,9.577682,7.146595,14.173191,14.235413,14.808741,14.710963,9.008799,13.430976,17.328714,18.795366,16.524279,7.986587,12.266543,13.586531,12.119879,11.364330,11.910992,5.848830,9.555460,8.777690,7.039929,7.213261,5.595500,4.226624,3.533298,2.426642,4.039959,1.942203,2.013313
"BBUZ1 .BW (TRAFFIC VALUE, INCOMING) 23-03-1998",1.191099,0.186665,0.102221,0.000000,0.035555,0.017778,0.000000,0.057777,0.066666,0.000000,0.035555,0.000000,0.413329,0.062222,0.000000,0.008889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044444,0.519995,0.013333,0.000000,0.217776,0.382218,1.311098,2.204422,4.119989,6.808821,14.817629,16.684277,14.839851,14.106525,15.928729,15.053183,17.599823,20.026466,18.546480,21.626450,22.777550,23.057547,24.693085,24.795307,19.679802,13.448754,8.902133,3.008859,6.133272,3.617742,5.235503,10.973224,11.577662,12.657651,17.155384,13.253201,20.564238,13.488753,12.662095,11.017667,8.702135,7.795477,11.217666,10.208786,10.039899,14.333190,11.035445,9.359906,11.622106,13.546531,14.430966,16.559834,8.439916,9.519904,5.822164,12.533208,9.337684,7.946587,8.795467,5.262169,9.177686,12.057657,13.573197,14.910961,10.262119,5.577722,3.288856,4.031071,3.439965,3.702185,1.764427,2.213311,1.235543,1.604428
"BBUZ1 .BW (TRAFFIC VALUE, INCOMING) 22-03-1998",1.213321,0.031111,0.119999,0.297775,0.426662,0.111110,0.213331,0.871102,0.999990,0.257775,0.040000,0.000000,0.000000,0.071110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.084444,0.044444,0.302219,0.697771,0.799992,2.155534,2.804416,5.106616,11.857658,12.995425,17.102051,16.613167,22.510885,21.755337,21.204231,20.146465,24.150869,28.453049,22.848660,18.902033,19.679802,21.155344,17.839821,11.702105,8.035475,3.342189,4.199958,5.613277,6.475491,8.502137,14.599854,16.030951,14.946517,12.253210,14.302078,12.697650,16.982052,8.684358,11.657660,17.475380,10.035455,9.506571,13.524309,14.159858,17.404270,14.635408,14.439856,12.355432,14.750963,15.533177,12.346542,12.559874,13.484309,11.959880,16.613167,17.515379,18.399815,16.186504,14.182080,15.475400,15.799842,8.524359,7.875476,10.066566,6.417713,4.644398,4.848840,5.204392,3.737740,3.946627,1.924425,0.946657
"BBUZ1 .BW (TRAFFIC VALUE, INCOMING) 21-03-1998",0.102221,0.000000,0.000000,0.000000,0.102221,0.000000,0.000000,0.000000,0.000000,0.057777,0.000000,0.013333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.217776,0.000000,0.071110,0.000000,0.000000,0.231109,0.017778,0.000000,0.000000,0.137776,1.168877,0.506662,3.155524,5.439945,10.164343,12.186544,19.875357,20.204241,15.924285,13.039869,14.368745,20.919790,22.790882,21.630894,19.155363,20.755348,19.506472,21.639782,19.484249,16.493168,15.688731,7.839921,6.782154,7.235483,11.239887,10.759892,14.630964,16.782053,19.995356,16.635389,16.577612,16.955385,15.453178,14.359856,11.808770,16.093172,18.017597,17.253160,19.217585,17.884266,18.670923,16.604279,12.453208,15.115404,11.519884,10.706559,13.413198,16.546501,16.857609,17.150940,19.173141,17.284271,16.239838,11.355442,9.524349,9.284351,13.106535,14.622075,14.404300,10.337674,9.186575,8.715468,7.426592,7.519925,5.275503,2.119979,1.191099,1.346653
"BBUZ1 .BW (TRAFFIC VALUE, INCOMING) 20-03-1998",0.000000,0.022222,0.000000,0.031111,0.000000,0.168887,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017778,0.000000,0.000000,0.000000,0.000000,0.000000,0.017778,0.173332,0.000000,0.000000,0.000000,0.199998,0.315552,1.186655,1.777760,1.853315,3.626630,5.484389,9.782125,15.586511,19.070919,18.906477,23.173101,22.164223,25.057526,26.786398,31.075243,28.475269,26.555288,18.559814,26.453068,26.701954,23.115324,12.133211,6.062161,4.675508,5.608833,9.071020,13.653196,13.053203,10.084343,17.119827,19.262030,20.955345,19.897577,15.137626,16.524279,13.159868,14.799851,17.462048,17.773155,17.368715,13.644307,17.324270,21.328674,23.421988,17.542046,15.408734,14.413189,11.737660,11.039889,10.506561,12.453208,11.408774,18.146484,19.733135,17.279827,21.119787,21.164232,16.848721,15.333179,14.853185,14.764297,11.617661,7.066596,7.333260,6.657711,4.653286,2.999970,1.146655,0.999990,0.924435
"BBUZ1 .BW (TRAFFIC VALUE, OUTGOING) 24-03-1998",0.111110,0.026666,0.000000,0.079999,0.044444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066666,0.048888,0.000000,0.008889,0.031111,0.044444,0.133332,0.079999,0.164443,0.124443,0.511106,0.942213,1.008879,1.199988,0.813325,0.688882,0.746659,1.648872,3.724407,4.888840,6.493268,13.906528,13.875417,15.559844,15.444289,16.195393,20.204241,18.146484,16.506500,18.728701,16.493168,18.950920,16.288725,17.048717,15.150959,10.862113,9.706570,5.568833,4.248846,6.164382,8.159918,7.039929,10.528783,10.111010,12.306543,14.208746,12.573207,13.737640,9.777679,10.195454,9.684347,11.350997,10.422117,7.475481,10.484340,7.924365,11.724327,13.377644,15.044293,11.662106,9.991011,15.204292,10.546561,13.102091,13.333200,15.088737,12.373209,12.879870,9.017687,9.871012,8.737690,5.453279,5.506611,6.217715,6.991041,6.515490,7.657701,7.537702,5.542167,3.391077,2.368865,1.199988,0.519995,0.000000
"BBUZ1 .BW (TRAFFIC VALUE, OUTGOING) 23-03-1998",0.000000,0.471106,1.404430,1.199988,0.026666,0.000000,0.000000,0.000000,0.000000,0.000000,0.137776,0.000000,0.035555,0.013333,0.044444,0.013333,0.022222,0.000000,0.088888,0.062222,0.177776,0.182220,0.444440,0.519995,1.008879,0.671104,1.217766,0.711104,2.204422,1.502207,1.564429,5.124393,9.213241,8.577692,13.617641,17.373159,16.070950,17.066496,11.893214,18.359816,24.088648,16.084284,19.306473,18.222040,19.106476,16.164282,12.564319,12.248766,3.724407,6.271048,7.217705,7.959920,6.186604,9.186575,9.568793,8.279917,14.035415,9.151019,12.804316,13.297645,13.088758,12.635428,11.670994,13.284311,13.524309,10.404340,6.244382,9.551015,9.168797,7.631034,8.346583,10.373229,11.466552,12.195434,12.670984,20.559793,12.368765,12.426542,11.368774,12.799871,16.377613,12.777650,10.324341,7.844366,8.973244,7.924365,6.751043,8.097696,6.417713,3.617742,0.897769,1.115544,0.746659,0.168887,0.328886,0.084444
"BBUZ1 .BW (TRAFFIC VALUE, OUTGOING) 22-03-1998",2.293310,0.928880,0.000000,0.182220,0.111110,0.004444,0.008889,0.000000,0.071110,0.048888,0.133332,0.000000,0.040000,0.000000,0.000000,0.000000,0.000000,0.151110,0.000000,0.048888,0.173332,0.155554,0.706660,0.751104,0.591105,0.297775,0.982212,1.071100,2.808861,2.777750,1.959980,5.791053,7.666590,7.635479,11.190999,16.435390,18.319817,18.510925,13.422088,10.497672,16.217615,19.333139,15.706509,16.004284,19.644247,19.510916,17.315382,10.742114,6.791043,8.088808,6.302159,5.951051,4.982172,5.622166,11.444329,13.786529,13.670974,13.808750,14.097636,10.022121,12.693206,18.817589,14.177635,11.928769,13.937638,13.137646,11.062111,11.786549,12.422097,11.519884,15.084293,15.186514,10.835446,14.302078,14.444300,9.497683,10.471006,15.093182,10.524339,8.657691,13.559864,15.986506,12.150990,8.662135,9.644348,7.302149,5.551055,7.791033,6.799932,3.728852,3.355522,2.524419,1.751094,0.359996,0.893324,1.066656
"BBUZ1 .BW (TRAFFIC VALUE, OUTGOING) 21-03-1998",1.022212,0.199998,0.000000,0.439996,0.155554,0.044444,0.000000,0.000000,0.000000,0.000000,0.000000,0.017778,0.062222,0.000000,0.000000,0.000000,0.062222,0.000000,0.137776,0.071110,0.137776,0.164443,0.257775,0.631105,1.111100,0.253331,1.164433,1.257765,3.493298,2.071090,3.022192,3.533298,5.466612,10.582116,14.279857,14.297634,17.075384,17.359825,13.550975,17.528713,16.257614,17.555380,20.737570,23.621984,20.897568,17.422047,17.390936,13.604308,7.324371,6.582156,5.977718,8.497692,11.519884,10.595449,13.270978,11.559884,13.719862,13.324310,14.986516,15.177626,14.288746,14.724297,14.630964,15.044293,16.755388,17.915377,14.719852,17.657600,15.266514,17.048717,12.039879,15.813174,15.826508,11.879881,10.764337,11.635439,13.484309,11.764326,10.888780,14.119859,13.808750,13.937638,12.853205,9.191019,7.733256,10.186564,10.608783,9.577682,8.928800,6.057717,6.506601,5.991051,5.715498,3.791073,2.359976,2.408865
"BBUZ1 .BW (TRAFFIC VALUE, OUTGOING) 20-03-1998",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017778,0.022222,0.000000,0.000000,0.017778,0.013333,0.000000,0.048888,0.075555,0.226664,0.279997,0.462218,1.022212,0.635549,0.377774,0.951102,0.844436,1.648872,1.124433,3.044414,4.648842,9.311018,13.595419,17.599823,20.333130,17.622046,16.386501,21.710894,21.782003,20.724237,21.773115,25.373079,17.426493,16.942053,18.110929,12.835426,14.977628,11.755438,3.413299,2.515530,3.648852,11.453218,8.151030,11.933213,11.888769,14.844296,19.426472,18.510925,14.524299,15.995395,13.746529,11.959880,14.262079,10.053232,16.937609,14.266523,16.724277,13.310978,16.946497,15.724287,14.897628,11.799882,10.173231,13.373199,15.444289,16.239838,15.577621,15.542067,12.777650,14.084303,14.328745,15.310958,15.373179,13.830973,12.586540,11.270998,9.279907,7.346593,4.524399,5.279947,3.115524,3.262189,0.675549,0.573328,1.551096
