h.m,00h00,00h15,00h30,00h45,01h00,01h15,01h30,01h45,02h00,02h15,02h30,02h45,03h00,03h15,03h30,03h45,04h00,04h15,04h30,04h45,05h00,05h15,05h30,05h45,06h00,06h15,06h30,06h45,07h00,07h15,07h30,07h45,08h00,08h15,08h30,08h45,09h00,09h15,09h30,09h45,10h00,10h15,10h30,10h45,11h00,11h15,11h30,11h45,12h00,12h15,12h30,12h45,13h00,13h15,13h30,13h45,14h00,14h15,14h30,14h45,15h00,15h15,15h30,15h45,16h00,16h15,16h30,16h45,17h00,17h15,17h30,17h45,18h00,18h15,18h30,18h45,19h00,19h15,19h30,19h45,20h00,20h15,20h30,20h45,21h00,21h15,21h30,21h45,22h00,22h15,22h30,22h45,23h00,23h15,23h30,23h45
" 3110002.BW (TRAFFIC VALUE) 31-03-1998",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.239998,0.004444,0.359996,0.026666,0.217776,0.364441,1.337764,1.662206,1.204432,0.137776,1.022212,0.311108,0.826658,1.159988,1.097767,0.728882,0.204442,0.000000,0.000000,0.000000,0.955546,0.479995,0.239998,0.466662,0.488884,0.053333,0.235553,0.164443,0.342219,0.964435,0.839992,0.982212,1.351098,1.839982,1.555540,0.031111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
" 3110382.BW (TRAFFIC VALUE) 31-03-1998",1.039990,0.999990,0.999990,0.999990,0.999990,0.999990,0.999990,0.999990,0.999990,0.999990,0.999990,0.999990,0.995546,0.999990,0.999990,0.999990,0.999990,0.999990,0.999990,0.999990,0.999990,0.999990,0.999990,0.999990,0.999990,0.999990,0.995546,0.999990,0.999990,0.999990,1.124433,1.897759,2.248866,2.973304,3.262189,4.097737,3.773295,2.324421,4.124403,5.177726,3.675519,3.786629,5.879941,3.088858,3.737740,3.395521,3.933294,2.591085,2.199978,0.999990,2.253311,0.999990,1.804426,2.493308,3.039969,1.671094,2.213311,4.751063,3.222190,1.804426,2.319977,2.871082,3.168857,3.199968,3.782184,3.146635,4.684397,2.733306,1.564429,1.244432,2.226644,2.044424,0.999990,1.742205,0.999990,1.119989,1.853315,1.279987,0.999990,0.999990,0.999990,0.999990,0.995546,0.999990,0.999990,0.999990,0.999990,0.999990,1.053323,0.999990,0.999990,0.999990,0.999990,0.999990,0.999990,0.999990
" 3111521.BW (TRAFFIC VALUE) 31-03-1998",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.195554,0.399996,0.195554,0.000000,0.364441,0.173332,0.479995,0.382218,1.395542,0.137776,0.262220,1.657761,1.439986,0.204442,0.422218,0.657771,1.315542,2.413309,2.142201,1.648872,0.555550,0.955546,1.422208,1.577762,2.159978,1.959980,1.337764,2.248866,1.248876,0.226664,1.159988,0.479995,0.426662,1.728872,1.484430,0.231109,0.475551,0.355552,0.391107,2.084424,1.866648,0.386663,0.000000,0.000000,0.000000,0.000000,0.000000,0.906658,0.319997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
" 3111555.BW (TRAFFIC VALUE) 31-03-1998",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.097777,0.199998,0.031111,0.337774,0.284442,0.702215,0.346663,0.515550,0.999990,0.293330,0.626660,0.346663,0.253331,0.311108,0.213331,0.000000,0.973324,0.119999,0.208887,0.048888,0.137776,0.000000,0.475551,0.448884,0.208887,0.831103,0.511106,0.288886,0.422218,0.168887,0.191109,0.000000,0.359996,0.435551,0.133332,0.755548,0.395552,0.266664,0.333330,0.000000,0.031111,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035555,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
" 3112022.BW (TRAFFIC VALUE) 31-03-1998",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.079999,0.231109,0.000000,0.182220,0.106666,0.417774,0.999990,0.444440,0.102221,0.484440,0.000000,0.000000,1.111100,1.319987,0.319997,0.119999,1.182210,0.324441,0.000000,0.000000,0.000000,0.000000,0.142221,0.000000,0.355552,0.257775,0.075555,0.079999,0.000000,0.075555,0.706660,0.955546,0.093332,0.155554,0.035555,0.044444,0.177776,0.404440,0.497773,0.173332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
" 3112121.BW (TRAFFIC VALUE) 31-03-1998",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222220,1.715538,2.808861,1.413319,1.391097,1.568873,2.613307,1.844426,0.795548,1.533318,2.097757,2.551085,3.048858,2.671084,3.328856,1.497763,1.417764,0.146665,0.671104,0.244442,0.000000,0.377774,0.000000,0.946657,0.435551,1.355542,1.555540,1.462208,0.968879,1.475541,0.604438,0.662216,1.257765,3.164413,0.448884,0.493328,1.288876,0.182220,0.284442,0.537772,0.964435,0.071110,0.000000,0.000000,0.097777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.453329,0.315552,0.000000,0.000000,0.000000,0.000000,0.000000
" 3113231.BW (TRAFFIC VALUE) 31-03-1998",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
" 3113401.BW (TRAFFIC VALUE) 31-03-1998",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.173332,0.199998,0.502217,0.133332,0.133332,0.488884,0.071110,0.773326,0.346663,0.604438,0.986657,1.275543,0.204442,0.808881,0.999990,0.844436,0.000000,0.257775,0.177776,0.186665,0.591105,0.342219,0.040000,0.217776,0.444440,0.004444,0.293330,0.457773,0.275553,0.000000,0.279997,1.368875,0.342219,0.813325,0.333330,0.333330,0.266664,0.546661,0.000000,0.191109,0.066666,0.488884,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
" 3113472.BW (TRAFFIC VALUE) 31-03-1998",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.071110,0.000000,0.591105,1.017768,0.911102,0.875547,1.319987,0.088888,0.444440,1.462208,0.462218,0.631105,0.746659,0.204442,1.213321,0.506662,0.991101,0.373330,0.048888,0.035555,0.000000,0.000000,0.142221,0.266664,1.764427,1.555540,2.302199,1.102211,1.466652,0.293330,0.648882,0.928880,0.888880,1.155544,1.026656,0.648882,0.102221,0.315552,0.000000,0.391107,1.053323,0.288886,0.000000,0.257775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
" 3114051.BW (TRAFFIC VALUE) 31-03-1998",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.284442,0.742215,1.191099,1.942203,1.511096,0.982212,1.386653,1.822204,1.582206,0.866658,1.364431,3.453299,0.871102,2.013313,2.471086,1.755538,0.884436,0.764437,1.142211,0.586661,1.208877,0.471106,0.195554,1.684427,0.782214,1.484429,1.648872,0.657771,1.586651,1.191099,1.635539,0.986657,1.448874,1.502207,1.288876,1.155544,0.684438,0.919991,0.422218,0.048888,0.182220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.239998,0.000000,0.404440,0.173332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000
