h.m,00h00,00h15,00h30,00h45,01h00,01h15,01h30,01h45,02h00,02h15,02h30,02h45,03h00,03h15,03h30,03h45,04h00,04h15,04h30,04h45,05h00,05h15,05h30,05h45,06h00,06h15,06h30,06h45,07h00,07h15,07h30,07h45,08h00,08h15,08h30,08h45,09h00,09h15,09h30,09h45,10h00,10h15,10h30,10h45,11h00,11h15,11h30,11h45,12h00,12h15,12h30,12h45,13h00,13h15,13h30,13h45,14h00,14h15,14h30,14h45,15h00,15h15,15h30,15h45,16h00,16h15,16h30,16h45,17h00,17h15,17h30,17h45,18h00,18h15,18h30,18h45,19h00,19h15,19h30,19h45,20h00,20h15,20h30,20h45,21h00,21h15,21h30,21h45,22h00,22h15,22h30,22h45,23h00,23h15,23h30,23h45
"BBEI1 .BW (TRAFFIC VALUE, INCOMING) 24-03-1998",6.168827,6.751043,6.817709,4.239957,3.088858,2.262200,1.737760,1.453319,1.008879,2.115534,1.568873,1.711094,2.737750,1.475541,0.773326,0.653327,0.484440,0.724437,0.488884,1.053323,2.088868,0.644438,0.422218,0.799992,0.573328,1.888870,3.995515,7.711034,12.737650,26.626400,46.795086,76.088127,132.638672,161.967270,190.100311,207.237915,216.882263,220.771118,234.259872,235.588745,239.464264,252.504135,256.819641,244.797546,243.682007,237.575394,219.291138,152.091812,73.545929,49.781723,43.008457,47.323971,62.434929,84.421371,130.616470,177.758209,214.157852,212.691193,215.362289,214.268967,192.158066,210.437881,181.109299,179.891525,160.185059,147.234085,125.683182,110.256668,93.110176,76.977005,52.355030,52.421696,46.670643,37.417404,35.484089,35.128536,30.297474,22.888659,22.199778,24.701975,27.666389,21.408674,14.519855,17.479824,13.742085,14.782074,10.173231,9.737680,9.977677,9.102131,6.724377,7.795477,6.715488,4.648842,4.484399,5.484389
"BBEI1 .BW (TRAFFIC VALUE, INCOMING) 23-03-1998",3.911072,2.693306,3.675519,2.777750,1.973314,1.768871,1.808871,1.377764,1.866648,1.573318,2.182200,1.137766,1.004434,1.222210,1.528874,0.822214,0.484440,1.053323,0.488884,1.017768,1.586651,1.004434,1.395542,0.804436,1.839982,2.675529,3.431077,6.093272,13.328755,21.706450,40.768478,68.154869,115.394394,167.416092,193.486954,206.989029,215.073395,218.815582,239.890930,239.344269,251.161926,257.664093,266.486206,249.721939,264.304016,235.322083,216.375610,160.398392,75.439240,43.844006,37.648510,51.626148,69.141525,92.079079,149.189621,190.086975,219.660019,212.766754,228.411041,221.837769,196.491364,202.353531,206.713486,205.131271,201.731308,191.100311,175.131577,162.549484,122.034332,110.741112,95.301270,74.368141,64.217133,66.350449,51.959480,49.568390,38.861832,36.137417,38.955166,37.684067,38.626278,28.857489,29.213039,26.879730,25.879740,24.426422,25.008638,23.435320,20.213131,22.644217,22.599773,16.239838,11.244331,9.119908,9.186575,10.462117
"BBEI1 .BW (TRAFFIC VALUE, INCOMING) 22-03-1998",-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,170.411621,192.220291,212.322311,206.295715,218.046707,237.810944,233.437653,237.784286,247.708618,248.441956,264.766235,271.863953,253.975235,226.642166,154.491776,68.252647,44.017338,38.995163,45.159546,67.039330,86.808022,147.994064,180.962631,214.571182,243.001999,234.326538,211.468994,215.393387,221.731110,218.477814,205.229050,217.117828,208.184570,205.415710,170.176071,149.011841,114.745514,87.990227,66.710442,61.328274,47.021751,47.728409,49.906166,41.812912,40.146263,26.128626,27.399725,32.879669,32.666340,29.124153,25.795298,31.501905,25.501966,19.786469,20.457573,20.688681,13.813194,15.008739,13.968749,15.679843,13.133202,8.217695,8.048808
"BBEI1 .BW (TRAFFIC VALUE, INCOMING) 21-03-1998",8.755467,6.022162,4.777730,4.702175,3.693296,4.408844,4.657731,3.693296,3.293300,1.968869,1.506652,0.879991,0.644438,1.199988,0.719993,1.919981,2.186645,1.391097,1.826648,1.333320,1.022212,0.871102,1.199988,0.568883,1.799982,2.706640,3.133302,7.533258,11.746549,27.395281,54.270565,80.154755,140.176376,160.322830,199.149109,199.353561,215.011169,218.260025,246.508636,238.819824,257.788513,273.388367,278.592773,265.095123,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"BBEI1 .BW (TRAFFIC VALUE, INCOMING) 20-03-1998",3.919961,3.777740,2.066646,1.004434,0.697771,0.515550,0.408885,0.879991,0.848880,0.782214,1.026656,0.768881,0.488884,0.519995,0.657771,0.635549,0.551106,0.408885,0.231109,0.297775,0.613327,0.928880,0.893324,2.177756,1.582206,0.702215,5.742165,5.728831,10.013233,17.679823,35.208534,56.728321,104.301178,145.585205,173.633820,204.962387,185.118149,204.673508,228.322159,226.922165,234.068756,252.708572,276.708344,270.481720,272.370605,265.468445,247.321960,183.882599,75.945908,54.928337,46.612865,44.510666,65.430458,92.461296,152.482910,208.780121,244.597549,261.810699,256.237427,254.744110,242.468674,246.570862,245.130875,238.842041,241.442017,234.006546,205.566833,182.469284,152.922913,122.860992,87.039124,75.599243,55.563889,47.861740,38.808498,32.448563,32.475231,31.879681,30.697470,28.568602,33.795216,37.848511,33.555218,35.408535,32.488564,31.253019,20.248686,24.795307,24.350866,22.550884,19.426472,17.368715,15.879841,11.626550,13.728751,11.662106
"BBEI1 .BW (TRAFFIC VALUE, INCOMING) 17-03-1998",6.471046,5.497723,4.977728,3.751073,2.071090,2.057757,1.599984,1.319987,0.991101,0.853325,1.737760,2.391087,3.351078,2.831083,2.319977,1.119989,0.373330,0.293330,0.417774,0.906658,1.053323,0.657771,0.568883,2.488864,3.071080,2.319977,5.431056,9.626570,12.888760,26.493067,43.946224,62.212708,116.092171,158.162857,190.162537,194.211380,206.229034,209.789001,217.166702,232.673218,231.695450,256.690765,231.948776,244.641983,255.201889,241.588684,204.566833,157.469528,75.737015,53.448353,39.270718,44.541775,60.319393,88.523560,144.376328,179.984863,218.620026,218.148926,223.064423,215.317841,204.206833,210.624557,210.548996,191.540298,163.718353,158.389526,145.842987,124.523193,97.447914,83.923599,74.181480,66.234894,52.972801,46.008427,41.315140,44.044003,30.759691,32.270786,34.599651,25.959740,28.333050,20.022022,24.221979,21.715338,21.804226,25.901962,15.773175,16.093172,16.208727,14.870962,13.053203,13.350977,9.253241,6.586601,4.555510,6.222160
"BBEI1 .BW (TRAFFIC VALUE, INCOMING) 16-03-1998",8.022141,5.164392,2.319977,1.982202,0.617772,1.062212,3.751073,3.164413,3.017747,2.964415,1.271098,0.631105,1.013323,1.564429,1.564429,0.688882,1.146655,0.999990,1.764427,0.902213,1.088878,0.893324,0.666660,0.804436,1.444430,2.053313,5.613277,8.102141,13.288755,27.577501,45.083992,81.785843,130.754242,159.665070,192.695847,203.175735,213.868958,223.886642,218.908920,228.593262,239.090927,258.450745,252.975235,256.028534,242.379791,238.810944,209.135681,161.420609,74.688141,49.679501,47.066193,51.017265,64.577133,90.319092,139.469711,174.033813,223.539978,236.406509,252.846359,232.704330,217.068939,231.686569,229.593246,220.673340,211.148987,215.197845,218.508911,192.020294,154.100677,126.318733,107.892250,82.016953,52.275032,53.995014,48.328403,44.546219,43.844006,41.804024,31.070799,39.226273,33.137444,31.110800,28.470825,28.786377,35.617420,31.519684,29.515259,31.955235,27.586390,27.897497,24.137535,16.208727,12.053212,14.773185,11.395441,10.173231
"BBEI1 .BW (TRAFFIC VALUE, INCOMING) 15-03-1998",8.755467,6.048828,4.333290,5.728831,5.311058,3.435521,2.328866,2.973304,2.693306,2.337754,2.084424,2.155534,2.071090,2.946637,1.475541,2.373310,2.884415,2.182200,2.106646,2.577752,2.884415,1.595540,1.746649,2.955526,3.475521,3.542187,7.244372,11.217666,17.555380,29.355261,49.221729,68.097092,121.167671,144.602997,190.095871,212.051208,208.824570,225.846619,229.064362,227.713272,243.948669,252.153030,258.646301,261.108490,271.641724,251.584137,206.144592,156.545090,76.483681,50.270607,51.435040,51.830589,62.772705,90.461311,137.709732,181.842621,228.282150,246.930862,238.499832,241.330917,215.411179,212.820084,218.295593,227.459946,226.153290,216.380051,196.442474,172.140488,145.398544,108.554466,104.443398,85.688026,63.346031,50.492828,43.737339,51.750591,43.844006,35.132980,34.417431,36.350746,29.866367,26.381958,24.035315,25.506411,29.799702,36.208527,27.733055,24.959749,22.337553,15.955396,16.124283,17.244272,15.533177,11.942102,8.133252,5.848830
"BBEI1 .BW (TRAFFIC VALUE, INCOMING) 14-03-1998",6.288826,4.244402,2.075535,3.719963,3.968849,3.626630,2.586641,1.755538,1.302209,1.515540,1.604428,0.897769,2.079979,1.875537,1.604428,1.137766,1.608873,1.319987,1.519985,1.373320,1.551096,1.559984,1.031101,0.955546,0.737770,2.866638,4.702175,9.328795,15.835397,23.644207,47.159527,77.376999,133.914215,170.131622,210.424561,215.188950,218.153366,208.353470,224.935516,250.326370,256.037445,251.370804,273.086151,251.455261,249.637497,265.121796,244.553101,164.051682,81.754738,50.475048,41.484028,42.804016,72.528160,84.092491,147.402969,180.460419,222.682205,242.322006,250.624146,259.001831,229.495468,226.046616,228.828812,233.437653,224.575531,216.620056,216.188934,188.331436,157.278427,124.972076,99.830109,74.314812,62.199375,58.452747,47.617298,40.390705,38.710724,37.599621,33.448555,35.035206,37.604069,30.950800,34.359653,27.221949,36.470745,35.301868,30.173031,25.213079,22.399775,25.764187,25.550856,23.084213,22.057556,21.270897,17.288715,13.377644
"BBEI1 .BW (TRAFFIC VALUE, INCOMING) 13-03-1998",2.035535,2.377754,1.906648,1.822204,1.448874,0.875547,0.524439,0.706660,0.733326,1.551096,0.653327,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,20.519794,-1.000000,-1.000000,-1.000000,6.457713,3.768851,4.608843
